,Response
228,mental addiction to weed and how it was taking over his
229,addiction to weed and how it was taking over his life
230,to weed and how it was taking over his life and
231,weed and how it was taking over his life and making
232,and how it was taking over his life and making him
233,how it was taking over his life and making him depressed
234,had friend open up to me about his mental addiction to weed
235,friend open up to me about his mental addiction to weed and
236,open up to me about his mental addiction to weed and how
237,up to me about his mental addiction to weed and how it
238,to me about his mental addiction to weed and how it was
239,me about his mental addiction to weed and how it was taking
240,about his mental addiction to weed and how it was taking over
241,his mental addiction to weed and how it was taking over his
242,mental addiction to weed and how it was taking over his life
243,addiction to weed and how it was taking over his life and
244,to weed and how it was taking over his life and making
245,weed and how it was taking over his life and making him
246,and how it was taking over his life and making him depressed
247,had friend open up to me about his mental addiction to weed and
248,friend open up to me about his mental addiction to weed and how
249,open up to me about his mental addiction to weed and how it
250,up to me about his mental addiction to weed and how it was
251,to me about his mental addiction to weed and how it was taking
252,me about his mental addiction to weed and how it was taking over
253,about his mental addiction to weed and how it was taking over his
254,his mental addiction to weed and how it was taking over his life
255,mental addiction to weed and how it was taking over his life and
256,addiction to weed and how it was taking over his life and making
257,to weed and how it was taking over his life and making him
258,weed and how it was taking over his life and making him depressed
259,had friend open up to me about his mental addiction to weed and how
260,friend open up to me about his mental addiction to weed and how it
261,open up to me about his mental addiction to weed and how it was
262,up to me about his mental addiction to weed and how it was taking
263,to me about his mental addiction to weed and how it was taking over
264,me about his mental addiction to weed and how it was taking over his
265,about his mental addiction to weed and how it was taking over his life
266,his mental addiction to weed and how it was taking over his life and
267,mental addiction to weed and how it was taking over his life and making
268,addiction to weed and how it was taking over his life and making him
269,to weed and how it was taking over his life and making him depressed
270,had friend open up to me about his mental addiction to weed and how it
271,friend open up to me about his mental addiction to weed and how it was
272,open up to me about his mental addiction to weed and how it was taking
273,up to me about his mental addiction to weed and how it was taking over
274,to me about his mental addiction to weed and how it was taking over his
275,me about his mental addiction to weed and how it was taking over his life
276,about his mental addiction to weed and how it was taking over his life and
277,his mental addiction to weed and how it was taking over his life and making
278,mental addiction to weed and how it was taking over his life and making him
279,addiction to weed and how it was taking over his life and making him depressed
280,had friend open up to me about his mental addiction to weed and how it was
281,friend open up to me about his mental addiction to weed and how it was taking
282,open up to me about his mental addiction to weed and how it was taking over
283,up to me about his mental addiction to weed and how it was taking over his
284,to me about his mental addiction to weed and how it was taking over his life
285,me about his mental addiction to weed and how it was taking over his life and
286,about his mental addiction to weed and how it was taking over his life and making
287,his mental addiction to weed and how it was taking over his life and making him
288,mental addiction to weed and how it was taking over his life and making him depressed
289,had friend open up to me about his mental addiction to weed and how it was taking
290,friend open up to me about his mental addiction to weed and how it was taking over
291,open up to me about his mental addiction to weed and how it was taking over his
292,up to me about his mental addiction to weed and how it was taking over his life
293,to me about his mental addiction to weed and how it was taking over his life and
294,me about his mental addiction to weed and how it was taking over his life and making
295,about his mental addiction to weed and how it was taking over his life and making him
296,his mental addiction to weed and how it was taking over his life and making him depressed
297,had friend open up to me about his mental addiction to weed and how it was taking over
298,friend open up to me about his mental addiction to weed and how it was taking over his
299,open up to me about his mental addiction to weed and how it was taking over his life
300,up to me about his mental addiction to weed and how it was taking over his life and
301,to me about his mental addiction to weed and how it was taking over his life and making
302,me about his mental addiction to weed and how it was taking over his life and making him
303,about his mental addiction to weed and how it was taking over his life and making him depressed
304,had friend open up to me about his mental addiction to weed and how it was taking over his
305,friend open up to me about his mental addiction to weed and how it was taking over his life
306,open up to me about his mental addiction to weed and how it was taking over his life and
307,up to me about his mental addiction to weed and how it was taking over his life and making
308,to me about his mental addiction to weed and how it was taking over his life and making him
309,me about his mental addiction to weed and how it was taking over his life and making him depressed
310,had friend open up to me about his mental addiction to weed and how it was taking over his life
311,friend open up to me about his mental addiction to weed and how it was taking over his life and
312,open up to me about his mental addiction to weed and how it was taking over his life and making
313,up to me about his mental addiction to weed and how it was taking over his life and making him
314,to me about his mental addiction to weed and how it was taking over his life and making him depressed
315,had friend open up to me about his mental addiction to weed and how it was taking over his life and
316,friend open up to me about his mental addiction to weed and how it was taking over his life and making
317,open up to me about his mental addiction to weed and how it was taking over his life and making him
318,up to me about his mental addiction to weed and how it was taking over his life and making him depressed
319,had friend open up to me about his mental addiction to weed and how it was taking over his life and making
320,friend open up to me about his mental addiction to weed and how it was taking over his life and making him
321,open up to me about his mental addiction to weed and how it was taking over his life and making him depressed
322,had friend open up to me about his mental addiction to weed and how it was taking over his life and making him
323,friend open up to me about his mental addiction to weed and how it was taking over his life and making him depressed
324,had friend open up to me about his mental addiction to weed and how it was taking over his life and making him depressed
325,saved
326,girl
327,from
328,suicide
329,once
330,saved girl
331,girl from
332,from suicide
333,suicide once
334,saved girl from
335,girl from suicide
336,from suicide once
337,saved girl from suicide
338,girl from suicide once
339,saved girl from suicide once
340,she
341,was
342,going
343,to
344,swallow
345,bunch
346,of
347,pills
348,and
349,talked
350,her
351,out
352,it
353,in
354,very
355,calm
356,loving
357,way
358,she was
359,was going
360,going to
361,to swallow
362,swallow bunch
363,bunch of
364,of pills
365,pills and
366,and talked
367,talked her
368,her out
369,out of
370,of it
371,it in
372,in very
373,very calm
374,calm loving
375,loving way
376,she was going
377,was going to
378,going to swallow
379,to swallow bunch
380,swallow bunch of
381,bunch of pills
382,of pills and
383,pills and talked
384,and talked her
385,talked her out
386,her out of
387,out of it
388,of it in
389,it in very
390,in very calm
391,very calm loving
392,calm loving way
393,she was going to
394,was going to swallow
395,going to swallow bunch
396,to swallow bunch of
397,swallow bunch of pills
398,bunch of pills and
399,of pills and talked
400,pills and talked her
401,and talked her out
402,talked her out of
403,her out of it
404,out of it in
405,of it in very
406,it in very calm
407,in very calm loving
408,very calm loving way
409,she was going to swallow
410,was going to swallow bunch
411,going to swallow bunch of
412,to swallow bunch of pills
413,swallow bunch of pills and
414,bunch of pills and talked
415,of pills and talked her
416,pills and talked her out
417,and talked her out of
418,talked her out of it
419,her out of it in
420,out of it in very
421,of it in very calm
422,it in very calm loving
423,in very calm loving way
424,she was going to swallow bunch
425,was going to swallow bunch of
426,going to swallow bunch of pills
427,to swallow bunch of pills and
428,swallow bunch of pills and talked
429,bunch of pills and talked her
430,of pills and talked her out
431,pills and talked her out of
432,and talked her out of it
433,talked her out of it in
434,her out of it in very
435,out of it in very calm
436,of it in very calm loving
437,it in very calm loving way
438,she was going to swallow bunch of
439,was going to swallow bunch of pills
440,going to swallow bunch of pills and
441,to swallow bunch of pills and talked
442,swallow bunch of pills and talked her
443,bunch of pills and talked her out
444,of pills and talked her out of
445,pills and talked her out of it
446,and talked her out of it in
447,talked her out of it in very
448,her out of it in very calm
449,out of it in very calm loving
450,of it in very calm loving way
451,she was going to swallow bunch of pills
452,was going to swallow bunch of pills and
453,going to swallow bunch of pills and talked
454,to swallow bunch of pills and talked her
455,swallow bunch of pills and talked her out
456,bunch of pills and talked her out of
457,of pills and talked her out of it
458,pills and talked her out of it in
459,and talked her out of it in very
460,talked her out of it in very calm
461,her out of it in very calm loving
462,out of it in very calm loving way
463,she was going to swallow bunch of pills and
464,was going to swallow bunch of pills and talked
465,going to swallow bunch of pills and talked her
466,to swallow bunch of pills and talked her out
467,swallow bunch of pills and talked her out of
468,bunch of pills and talked her out of it
469,of pills and talked her out of it in
470,pills and talked her out of it in very
471,and talked her out of it in very calm
472,talked her out of it in very calm loving
473,her out of it in very calm loving way
474,she was going to swallow bunch of pills and talked
475,was going to swallow bunch of pills and talked her
476,going to swallow bunch of pills and talked her out
477,to swallow bunch of pills and talked her out of
478,swallow bunch of pills and talked her out of it
479,bunch of pills and talked her out of it in
480,of pills and talked her out of it in very
481,pills and talked her out of it in very calm
482,and talked her out of it in very calm loving
483,talked her out of it in very calm loving way
484,she was going to swallow bunch of pills and talked her
485,was going to swallow bunch of pills and talked her out
486,going to swallow bunch of pills and talked her out of
487,to swallow bunch of pills and talked her out of it
488,swallow bunch of pills and talked her out of it in
489,bunch of pills and talked her out of it in very
490,of pills and talked her out of it in very calm
491,pills and talked her out of it in very calm loving
492,and talked her out of it in very calm loving way
493,she was going to swallow bunch of pills and talked her out
494,was going to swallow bunch of pills and talked her out of
495,going to swallow bunch of pills and talked her out of it
496,to swallow bunch of pills and talked her out of it in
497,swallow bunch of pills and talked her out of it in very
498,bunch of pills and talked her out of it in very calm
499,of pills and talked her out of it in very calm loving
500,pills and talked her out of it in very calm loving way
501,she was going to swallow bunch of pills and talked her out of
502,was going to swallow bunch of pills and talked her out of it
503,going to swallow bunch of pills and talked her out of it in
504,to swallow bunch of pills and talked her out of it in very
505,swallow bunch of pills and talked her out of it in very calm
506,bunch of pills and talked her out of it in very calm loving
507,of pills and talked her out of it in very calm loving way
508,she was going to swallow bunch of pills and talked her out of it
509,was going to swallow bunch of pills and talked her out of it in
510,going to swallow bunch of pills and talked her out of it in very
511,to swallow bunch of pills and talked her out of it in very calm
512,swallow bunch of pills and talked her out of it in very calm loving
513,bunch of pills and talked her out of it in very calm loving way
514,she was going to swallow bunch of pills and talked her out of it in
515,was going to swallow bunch of pills and talked her out of it in very
516,going to swallow bunch of pills and talked her out of it in very calm
517,to swallow bunch of pills and talked her out of it in very calm loving
518,swallow bunch of pills and talked her out of it in very calm loving way
519,she was going to swallow bunch of pills and talked her out of it in very
520,was going to swallow bunch of pills and talked her out of it in very calm
521,going to swallow bunch of pills and talked her out of it in very calm loving
522,to swallow bunch of pills and talked her out of it in very calm loving way
523,she was going to swallow bunch of pills and talked her out of it in very calm
524,was going to swallow bunch of pills and talked her out of it in very calm loving
525,going to swallow bunch of pills and talked her out of it in very calm loving way
526,she was going to swallow bunch of pills and talked her out of it in very calm loving
527,was going to swallow bunch of pills and talked her out of it in very calm loving way
528,she was going to swallow bunch of pills and talked her out of it in very calm loving way
529,cant
530,think
531,of
532,one
533,really
534,cant think
535,think of
536,of one
537,one really
538,cant think of
539,think of one
540,of one really
541,cant think of one
542,think of one really
543,cant think of one really
544,think
545,may
546,have
547,indirectly
548,think may
549,may have
550,have indirectly
551,think may have
552,may have indirectly
553,think may have indirectly
554,only
555,really
556,one
557,friend
558,who
559,doesn
560,fit
561,into
562,the
563,any
564,of
565,above
566,categories
567,only really
568,really one
569,one friend
570,friend who
571,who doesn
572,doesn fit
573,fit into
574,into the
575,the any
576,any of
577,of the
578,the above
579,above categories
580,only really one
581,really one friend
582,one friend who
583,friend who doesn
584,who doesn fit
585,doesn fit into
586,fit into the
587,into the any
588,the any of
589,any of the
590,of the above
591,the above categories
592,only really one friend
593,really one friend who
594,one friend who doesn
595,friend who doesn fit
596,who doesn fit into
597,doesn fit into the
598,fit into the any
599,into the any of
600,the any of the
601,any of the above
602,of the above categories
603,only really one friend who
604,really one friend who doesn
605,one friend who doesn fit
606,friend who doesn fit into
607,who doesn fit into the
608,doesn fit into the any
609,fit into the any of
610,into the any of the
611,the any of the above
612,any of the above categories
613,only really one friend who doesn
614,really one friend who doesn fit
615,one friend who doesn fit into
616,friend who doesn fit into the
617,who doesn fit into the any
618,doesn fit into the any of
619,fit into the any of the
620,into the any of the above
621,the any of the above categories
622,only really one friend who doesn fit
623,really one friend who doesn fit into
624,one friend who doesn fit into the
625,friend who doesn fit into the any
626,who doesn fit into the any of
627,doesn fit into the any of the
628,fit into the any of the above
629,into the any of the above categories
630,only really one friend who doesn fit into
631,really one friend who doesn fit into the
632,one friend who doesn fit into the any
633,friend who doesn fit into the any of
634,who doesn fit into the any of the
635,doesn fit into the any of the above
636,fit into the any of the above categories
637,only really one friend who doesn fit into the
638,really one friend who doesn fit into the any
639,one friend who doesn fit into the any of
640,friend who doesn fit into the any of the
641,who doesn fit into the any of the above
642,doesn fit into the any of the above categories
643,only really one friend who doesn fit into the any
644,really one friend who doesn fit into the any of
645,one friend who doesn fit into the any of the
646,friend who doesn fit into the any of the above
647,who doesn fit into the any of the above categories
648,only really one friend who doesn fit into the any of
649,really one friend who doesn fit into the any of the
650,one friend who doesn fit into the any of the above
651,friend who doesn fit into the any of the above categories
652,only really one friend who doesn fit into the any of the
653,really one friend who doesn fit into the any of the above
654,one friend who doesn fit into the any of the above categories
655,only really one friend who doesn fit into the any of the above
656,really one friend who doesn fit into the any of the above categories
657,only really one friend who doesn fit into the any of the above categories
658,her
659,therapist
660,calls
661,it
662,spiraling
663,her therapist
664,therapist calls
665,calls it
666,it spiraling
667,her therapist calls
668,therapist calls it
669,calls it spiraling
670,her therapist calls it
671,therapist calls it spiraling
672,her therapist calls it spiraling
673,anyway
674,she
675,pretty
676,much
677,calls
678,me
679,any
680,time
681,is
682,frustrated
683,by
684,something
685,with
686,her
687,boyfriend
688,to
689,ask
690,if
691,it
692,logical
693,or
694,not
695,anyway she
696,she pretty
697,pretty much
698,much calls
699,calls me
700,me any
701,any time
702,time she
703,she is
704,is frustrated
705,frustrated by
706,by something
707,something with
708,with her
709,her boyfriend
710,boyfriend to
711,to ask
712,ask me
713,me if
714,if it
715,it logical
716,logical or
717,or not
718,anyway she pretty
719,she pretty much
720,pretty much calls
721,much calls me
722,calls me any
723,me any time
724,any time she
725,time she is
726,she is frustrated
727,is frustrated by
728,frustrated by something
729,by something with
730,something with her
731,with her boyfriend
732,her boyfriend to
733,boyfriend to ask
734,to ask me
735,ask me if
736,me if it
737,if it logical
738,it logical or
739,logical or not
740,anyway she pretty much
741,she pretty much calls
742,pretty much calls me
743,much calls me any
744,calls me any time
745,me any time she
746,any time she is
747,time she is frustrated
748,she is frustrated by
749,is frustrated by something
750,frustrated by something with
751,by something with her
752,something with her boyfriend
753,with her boyfriend to
754,her boyfriend to ask
755,boyfriend to ask me
756,to ask me if
757,ask me if it
758,me if it logical
759,if it logical or
760,it logical or not
761,anyway she pretty much calls
762,she pretty much calls me
763,pretty much calls me any
764,much calls me any time
765,calls me any time she
766,me any time she is
767,any time she is frustrated
768,time she is frustrated by
769,she is frustrated by something
770,is frustrated by something with
771,frustrated by something with her
772,by something with her boyfriend
773,something with her boyfriend to
774,with her boyfriend to ask
775,her boyfriend to ask me
776,boyfriend to ask me if
777,to ask me if it
778,ask me if it logical
779,me if it logical or
780,if it logical or not
781,anyway she pretty much calls me
782,she pretty much calls me any
783,pretty much calls me any time
784,much calls me any time she
785,calls me any time she is
786,me any time she is frustrated
787,any time she is frustrated by
788,time she is frustrated by something
789,she is frustrated by something with
790,is frustrated by something with her
791,frustrated by something with her boyfriend
792,by something with her boyfriend to
793,something with her boyfriend to ask
794,with her boyfriend to ask me
795,her boyfriend to ask me if
796,boyfriend to ask me if it
797,to ask me if it logical
798,ask me if it logical or
799,me if it logical or not
800,anyway she pretty much calls me any
801,she pretty much calls me any time
802,pretty much calls me any time she
803,much calls me any time she is
804,calls me any time she is frustrated
805,me any time she is frustrated by
806,any time she is frustrated by something
807,time she is frustrated by something with
808,she is frustrated by something with her
809,is frustrated by something with her boyfriend
810,frustrated by something with her boyfriend to
811,by something with her boyfriend to ask
812,something with her boyfriend to ask me
813,with her boyfriend to ask me if
814,her boyfriend to ask me if it
815,boyfriend to ask me if it logical
816,to ask me if it logical or
817,ask me if it logical or not
818,anyway she pretty much calls me any time
819,she pretty much calls me any time she
820,pretty much calls me any time she is
821,much calls me any time she is frustrated
822,calls me any time she is frustrated by
823,me any time she is frustrated by something
824,any time she is frustrated by something with
825,time she is frustrated by something with her
826,she is frustrated by something with her boyfriend
827,is frustrated by something with her boyfriend to
828,frustrated by something with her boyfriend to ask
829,by something with her boyfriend to ask me
830,something with her boyfriend to ask me if
831,with her boyfriend to ask me if it
832,her boyfriend to ask me if it logical
833,boyfriend to ask me if it logical or
834,to ask me if it logical or not
835,anyway she pretty much calls me any time she
836,she pretty much calls me any time she is
837,pretty much calls me any time she is frustrated
838,much calls me any time she is frustrated by
839,calls me any time she is frustrated by something
840,me any time she is frustrated by something with
841,any time she is frustrated by something with her
842,time she is frustrated by something with her boyfriend
843,she is frustrated by something with her boyfriend to
844,is frustrated by something with her boyfriend to ask
845,frustrated by something with her boyfriend to ask me
846,by something with her boyfriend to ask me if
847,something with her boyfriend to ask me if it
848,with her boyfriend to ask me if it logical
849,her boyfriend to ask me if it logical or
850,boyfriend to ask me if it logical or not
851,anyway she pretty much calls me any time she is
852,she pretty much calls me any time she is frustrated
853,pretty much calls me any time she is frustrated by
854,much calls me any time she is frustrated by something
855,calls me any time she is frustrated by something with
856,me any time she is frustrated by something with her
857,any time she is frustrated by something with her boyfriend
858,time she is frustrated by something with her boyfriend to
859,she is frustrated by something with her boyfriend to ask
860,is frustrated by something with her boyfriend to ask me
861,frustrated by something with her boyfriend to ask me if
862,by something with her boyfriend to ask me if it
863,something with her boyfriend to ask me if it logical
864,with her boyfriend to ask me if it logical or
865,her boyfriend to ask me if it logical or not
866,anyway she pretty much calls me any time she is frustrated
867,she pretty much calls me any time she is frustrated by
868,pretty much calls me any time she is frustrated by something
869,much calls me any time she is frustrated by something with
870,calls me any time she is frustrated by something with her
871,me any time she is frustrated by something with her boyfriend
872,any time she is frustrated by something with her boyfriend to
873,time she is frustrated by something with her boyfriend to ask
874,she is frustrated by something with her boyfriend to ask me
875,is frustrated by something with her boyfriend to ask me if
876,frustrated by something with her boyfriend to ask me if it
877,by something with her boyfriend to ask me if it logical
878,something with her boyfriend to ask me if it logical or
879,with her boyfriend to ask me if it logical or not
880,anyway she pretty much calls me any time she is frustrated by
881,she pretty much calls me any time she is frustrated by something
882,pretty much calls me any time she is frustrated by something with
883,much calls me any time she is frustrated by something with her
884,calls me any time she is frustrated by something with her boyfriend
885,me any time she is frustrated by something with her boyfriend to
886,any time she is frustrated by something with her boyfriend to ask
887,time she is frustrated by something with her boyfriend to ask me
888,she is frustrated by something with her boyfriend to ask me if
889,is frustrated by something with her boyfriend to ask me if it
890,frustrated by something with her boyfriend to ask me if it logical
891,by something with her boyfriend to ask me if it logical or
892,something with her boyfriend to ask me if it logical or not
893,anyway she pretty much calls me any time she is frustrated by something
894,she pretty much calls me any time she is frustrated by something with
895,pretty much calls me any time she is frustrated by something with her
896,much calls me any time she is frustrated by something with her boyfriend
897,calls me any time she is frustrated by something with her boyfriend to
898,me any time she is frustrated by something with her boyfriend to ask
899,any time she is frustrated by something with her boyfriend to ask me
900,time she is frustrated by something with her boyfriend to ask me if
901,she is frustrated by something with her boyfriend to ask me if it
902,is frustrated by something with her boyfriend to ask me if it logical
903,frustrated by something with her boyfriend to ask me if it logical or
904,by something with her boyfriend to ask me if it logical or not
905,anyway she pretty much calls me any time she is frustrated by something with
906,she pretty much calls me any time she is frustrated by something with her
907,pretty much calls me any time she is frustrated by something with her boyfriend
908,much calls me any time she is frustrated by something with her boyfriend to
909,calls me any time she is frustrated by something with her boyfriend to ask
910,me any time she is frustrated by something with her boyfriend to ask me
911,any time she is frustrated by something with her boyfriend to ask me if
912,time she is frustrated by something with her boyfriend to ask me if it
913,she is frustrated by something with her boyfriend to ask me if it logical
914,is frustrated by something with her boyfriend to ask me if it logical or
915,frustrated by something with her boyfriend to ask me if it logical or not
916,anyway she pretty much calls me any time she is frustrated by something with her
917,she pretty much calls me any time she is frustrated by something with her boyfriend
918,pretty much calls me any time she is frustrated by something with her boyfriend to
919,much calls me any time she is frustrated by something with her boyfriend to ask
920,calls me any time she is frustrated by something with her boyfriend to ask me
921,me any time she is frustrated by something with her boyfriend to ask me if
922,any time she is frustrated by something with her boyfriend to ask me if it
923,time she is frustrated by something with her boyfriend to ask me if it logical
924,she is frustrated by something with her boyfriend to ask me if it logical or
925,is frustrated by something with her boyfriend to ask me if it logical or not
926,anyway she pretty much calls me any time she is frustrated by something with her boyfriend
927,she pretty much calls me any time she is frustrated by something with her boyfriend to
928,pretty much calls me any time she is frustrated by something with her boyfriend to ask
929,much calls me any time she is frustrated by something with her boyfriend to ask me
930,calls me any time she is frustrated by something with her boyfriend to ask me if
931,me any time she is frustrated by something with her boyfriend to ask me if it
932,any time she is frustrated by something with her boyfriend to ask me if it logical
933,time she is frustrated by something with her boyfriend to ask me if it logical or
934,she is frustrated by something with her boyfriend to ask me if it logical or not
935,anyway she pretty much calls me any time she is frustrated by something with her boyfriend to
936,she pretty much calls me any time she is frustrated by something with her boyfriend to ask
937,pretty much calls me any time she is frustrated by something with her boyfriend to ask me
938,much calls me any time she is frustrated by something with her boyfriend to ask me if
939,calls me any time she is frustrated by something with her boyfriend to ask me if it
940,me any time she is frustrated by something with her boyfriend to ask me if it logical
941,any time she is frustrated by something with her boyfriend to ask me if it logical or
942,time she is frustrated by something with her boyfriend to ask me if it logical or not
943,anyway she pretty much calls me any time she is frustrated by something with her boyfriend to ask
944,she pretty much calls me any time she is frustrated by something with her boyfriend to ask me
945,pretty much calls me any time she is frustrated by something with her boyfriend to ask me if
946,much calls me any time she is frustrated by something with her boyfriend to ask me if it
947,calls me any time she is frustrated by something with her boyfriend to ask me if it logical
948,me any time she is frustrated by something with her boyfriend to ask me if it logical or
949,any time she is frustrated by something with her boyfriend to ask me if it logical or not
950,anyway she pretty much calls me any time she is frustrated by something with her boyfriend to ask me
951,she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if
952,pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it
953,much calls me any time she is frustrated by something with her boyfriend to ask me if it logical
954,calls me any time she is frustrated by something with her boyfriend to ask me if it logical or
955,me any time she is frustrated by something with her boyfriend to ask me if it logical or not
956,anyway she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if
957,she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it
958,pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it logical
959,much calls me any time she is frustrated by something with her boyfriend to ask me if it logical or
960,calls me any time she is frustrated by something with her boyfriend to ask me if it logical or not
961,anyway she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it
962,she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it logical
963,pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it logical or
964,much calls me any time she is frustrated by something with her boyfriend to ask me if it logical or not
965,anyway she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it logical
966,she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it logical or
967,pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it logical or not
968,anyway she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it logical or
969,she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it logical or not
970,anyway she pretty much calls me any time she is frustrated by something with her boyfriend to ask me if it logical or not
971,before
972,they
973,would
974,just
975,fight
976,and
977,he
978,call
979,her
980,crazy
981,before they
982,they would
983,would just
984,just fight
985,fight and
986,and he
987,he would
988,would call
989,call her
990,her crazy
991,before they would
992,they would just
993,would just fight
994,just fight and
995,fight and he
996,and he would
997,he would call
998,would call her
999,call her crazy
1000,before they would just
1001,they would just fight
1002,would just fight and
1003,just fight and he
1004,fight and he would
1005,and he would call
1006,he would call her
1007,would call her crazy
1008,before they would just fight
1009,they would just fight and
1010,would just fight and he
1011,just fight and he would
1012,fight and he would call
1013,and he would call her
1014,he would call her crazy
1015,before they would just fight and
1016,they would just fight and he
1017,would just fight and he would
1018,just fight and he would call
1019,fight and he would call her
1020,and he would call her crazy
1021,before they would just fight and he
1022,they would just fight and he would
1023,would just fight and he would call
1024,just fight and he would call her
1025,fight and he would call her crazy
1026,before they would just fight and he would
1027,they would just fight and he would call
1028,would just fight and he would call her
1029,just fight and he would call her crazy
